page_number,table_title,table_title_next,final_table_title,categories,DataID,file_name,application_name,esa_folder_link,DocumentID,esa_download_link,DataID_pdf,Section,Application filing date,link to folder with ESA,Hearing order,Folder link,Company Name,Consultant Name,Status in GIS,RTS English Title = Project name,Regulatory Instruments Issued,Pipeline Named in GIS,Application title short,Link to Application,Link to Decision,Location_x,Component,Component PDF Name,Component Index,table_count,short_name,Location_y,Commodity,Category
45,Figure 13.4-2 Mean Monthly Rainfall and Number of Days with Measurable Rainfall Observed at the Fort Nelson Airport for the Period 1971 to 2000,,Figure 13.4-2 Mean Monthly Rainfall and Number of Days with Measurable Rainfall Observed at the Fort Nelson Airport for the Period 1971 to 2000,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
46,Figure 13.4-3 Mean Monthly Snowfall and Number of Days with Measurable Snowfall Observed at the Fort Nelson Airport for the Period 1971 to 2000,,Figure 13.4-3 Mean Monthly Snowfall and Number of Days with Measurable Snowfall Observed at the Fort Nelson Airport for the Period 1971 to 2000,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
47,Figure 13.4-4 Mean Monthly Precipitation and Number of Days with Measurable Rainfall Observed at the Fort Nelson Airport for the Period 1971 to 2000, ,Figure 13.4-4 Mean Monthly Precipitation and Number of Days with Measurable Rainfall Observed at the Fort Nelson Airport for the Period 1971 to 2000,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
48,Figure 13.4-5 Windspeed Frequencies Measured at the Fort Nelson Airport for the Period 1992 to 1996,,Figure 13.4-5 Windspeed Frequencies Measured at the Fort Nelson Airport for the Period 1992 to 1996,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
49,Figure 13.4-6 Wind Direction Distribution Measured at the Fort Nelson Airport for the Period 1992 to 1996,Figure 13.4-7 shows the seasonal wind direction distribution also using Fort Nelson Airport  meteorological data collected from 1992 to 1996. Terrain effects appear to be the most  pronounced during the winter and the least pronounced during the spring and summer. ,Figure 13.4-6 Wind Direction Distribution Measured at the Fort Nelson Airport for the Period 1992 to 1996,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
49,Figure 13.4-7 shows the seasonal wind direction distribution also using Fort Nelson Airport meteorological data collected from 1992 to 1996. Terrain effects appear to be the most pronounced during the winter and the least pronounced during the spring and summer.,,Figure 13.4-7 shows the seasonal wind direction distribution also using Fort Nelson Airport meteorological data collected from 1992 to 1996. Terrain effects appear to be the most pronounced during the winter and the least pronounced during the spring and summer.,0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
50,Figure 13.4-7 Seasonal Wind Direction Distribution Measured at the Fort Nelson Airport for the Period 1992 to 1996,WIND SPEED  (m/s) ,Figure 13.4-7 Seasonal Wind Direction Distribution Measured at the Fort Nelson Airport for the Period 1992 to 1996,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Figure
52,Table 13.4-1 Key Impact Questions on Air Quality Assessment Approach Key Impact Question Assessment Approach,How will the construction of the  Project affect local air quality?  ,Table 13.4-1 Key Impact Questions on Air Quality Assessment Approach Key Impact Question Assessment Approach,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
54,"Table 13.4-2 lists the off-road construction units and their corresponding emission factors for the major pollutants of interest (SBC 1997). Construction vehicles can include several different vehicle types, each with differing emission factors. As the emission factors do not differ significantly, the average of seven vehicle types were used. Off-road trucks, on the other hand, are a specific unit and have emission factors assigned to them.",Table 13.4-2 Number of Units and Emission Factors for Heavy Equipment used in  the Construction Phase  ,"Table 13.4-2 lists the off-road construction units and their corresponding emission factors for the major pollutants of interest (SBC 1997). Construction vehicles can include several different vehicle types, each with differing emission factors. As the emission factors do not differ significantly, the average of seven vehicle types were used. Off-road trucks, on the other hand, are a specific unit and have emission factors assigned to them.",0.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
54,Table 13.4-2 Number of Units and Emission Factors for Heavy Equipment used in the Construction Phase,Emission Factors (g/hp×h)  Unit Type Number of Units NOx CO PM HC  ,Table 13.4-2 Number of Units and Emission Factors for Heavy Equipment used in the Construction Phase,1.0,268706,A0H8C0 - 13.0 EIA - Section 13.1 to 13.6 ,2003-03-17 Application to Construct and Operate Ekwan Pipeline GH-1-2003,https://apps.cer-rec.gc.ca/REGDOCS/Item/LoadResult/268693,A0H8C0,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/268706,268706.pdf,52,2003-03-17,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268693,GH-1-2003,268693,EnCana Ekwan Pipeline Inc.,AXYS Environmental Consulting Ltd.,Part provincially regulated,Ekwan Pipeline Application/Horn River Pipeline Ptoject,GC-108,Ekwan Pipeline,Application to Construct and Operate Ekwan Pipeline,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/268876,https://apps.cer-rec.gc.ca/REGDOCS/Item/View/293763,TBD,ESA,"Section 13.1: Introduction, Section 13.1: Project Description, Section 13.3: Assessment Methods, Section 13.4: Air, Section 13.5: Terrain and Soils, Section 13.6: Vegetation",1.0,42.0,Ekwan,"Alberta, British Columbia, All",Gas,Table
