Title,Data ID,PDF Page Number,count,CSV Download URL,PDF Download URL,Download folder name
Table 5.4-6: Listed Plant Species Observations in the Terrestrial Local Study Area and the Project Footprint in BC,2813701,153,3,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_153_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_153_3.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_153_4.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2813701,twrbrch
"Table 5.4-6: Provincially Tracked Ecological Communities for the Central Mixedwood Natural Subregion, Dry Mixedwood Natural Subregion and Lower Boreal Highlands Natural Subregion",2445982,26,2,http://www.cer-rec.gc.ca/esa-ees/wlvrnrvrltrlllp/2445982_26_1.csv; http://www.cer-rec.gc.ca/esa-ees/wlvrnrvrltrlllp/2445982_26_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2445982,wlvrnrvrltrlllp
"Table 5.4-8: Non-native, Invasive and Noxious Weed Species Observations in the Terrestrial Local Study Area and the Project Footprint",2445982,29,2,http://www.cer-rec.gc.ca/esa-ees/wlvrnrvrltrlllp/2445982_29_1.csv; http://www.cer-rec.gc.ca/esa-ees/wlvrnrvrltrlllp/2445982_29_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2445982,wlvrnrvrltrlllp
"Table 5.4-8: Non-native, Invasive and Noxious Weed Species Observations in the Terrestrial Local Study Area and the Project Footprint",2445982,30,2,http://www.cer-rec.gc.ca/esa-ees/wlvrnrvrltrlllp/2445982_30_1.csv; http://www.cer-rec.gc.ca/esa-ees/wlvrnrvrltrlllp/2445982_30_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2445982,wlvrnrvrltrlllp
Table 5.4-8: Provincially Tracked Ecological Communities for the Dry Mixedwood and Lower Foothills Natural Subregions and the BWBSmw Subzone,2813701,156,4,http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_156_1.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_156_2.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_156_3.csv; http://www.cer-rec.gc.ca/esa-ees/twrbrch/2813701_156_4.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/2813701,twrbrch
Table 5.4.2 Project Activity – Environmental Effects Interaction Matrix for Vegetation,408937,341,3,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_341_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_341_2.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_341_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.4.3 Environmental Effects Assessment Matrix for Vegetation,408937,345,3,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_345_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_345_2.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_345_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.4.3 Environmental Effects Assessment Matrix for Vegetation,408937,346,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_346_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_346_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.4.4 Environmental Effects Assessment Matrix for Vegetation,408937,348,3,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_348_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_348_2.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_348_3.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
Table 5.4.5 Environmental Effects Assessment Matrix for Vegetation,408937,349,2,http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_349_1.csv; http://www.cer-rec.gc.ca/esa-ees/brnswck/408937_349_2.csv,https://apps.cer-rec.gc.ca/REGDOCS/File/Download/408937,brnswck
